source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:BP,GO:1901652,response to peptide,0.016655441016490382,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide stimulus."" [GOC:pr, GOC:TermGenie]",962,5,4,21026,0.8,0.004158004158004158,query_1,['GO:0042221'],"['TP53', 'TNF', 'BRCA1', 'GAPDH']","[['IGI', 'IEA'], ['IDA', 'IMP', 'IBA', 'NAS', 'IEA'], ['IMP'], ['IDA']]"
GO:BP,GO:0006260,DNA replication,0.0187692135410204,True,"""The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."" [GOC:mah]",283,5,3,21026,0.6,0.01060070671378092,query_1,['GO:0006259'],"['TP53', 'EGFR', 'BRCA1']","[['IEA'], ['IDA'], ['NAS']]"
GO:BP,GO:0006259,DNA metabolic process,0.019810620497763626,True,"""Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides."" [ISBN:0198506732]",1005,5,4,21026,0.8,0.003980099502487562,query_1,['GO:0090304'],"['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IDA', 'IMP', 'IEA'], ['IDA'], ['IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'NAS', 'IEA']]"
GO:BP,GO:0007435,salivary gland morphogenesis,0.020082003743157426,True,"""The process in which the anatomical structures of the salivary gland are generated and organized."" [GOC:jid]",34,5,2,21026,0.4,0.058823529411764705,query_1,"['GO:0007431', 'GO:0022612']","['EGFR', 'TNF']","[['IEA'], ['IEA']]"
GO:BP,GO:0051054,positive regulation of DNA metabolic process,0.020400592222350116,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]",291,5,3,21026,0.6,0.010309278350515464,query_1,"['GO:0006259', 'GO:0010604', 'GO:0045935', 'GO:0051052']","['EGFR', 'TNF', 'BRCA1']","[['IDA'], ['IEA'], ['IMP']]"
KEGG,KEGG:04010,MAPK signaling pathway,0.02055433950362328,True,MAPK signaling pathway,301,5,3,8484,0.6,0.009966777408637873,query_1,['KEGG:00000'],"['TP53', 'EGFR', 'TNF']","[['KEGG'], ['KEGG'], ['KEGG']]"
GO:BP,GO:0051402,neuron apoptotic process,0.02146636711332956,True,"""Any apoptotic process in a neuron, the basic cellular unit of nervous tissue. Each neuron consists of a body, an axon, and dendrites. Their purpose is to receive, conduct, and transmit impulses in the nervous system."" [CL:0000540, GOC:mtg_apoptosis]",296,5,3,21026,0.6,0.010135135135135136,query_1,['GO:0006915'],"['TP53', 'TNF', 'GAPDH']","[['IEA'], ['ISS', 'IEA'], ['ISS']]"
KEGG,KEGG:05213,Endometrial cancer,0.022221734847298252,True,Endometrial cancer,58,5,2,8484,0.4,0.034482758620689655,query_1,['KEGG:00000'],"['TP53', 'EGFR']","[['KEGG'], ['KEGG']]"
GO:CC,GO:0043073,germ cell nucleus,0.022275167919576174,True,"""The nucleus of a germ cell, a reproductive cell in multicellular organisms."" [CL:0000586, GOC:go_curators]",71,5,2,22149,0.4,0.028169014084507043,query_1,['GO:0005634'],"['TP53', 'BRCA1']","[['IEA'], ['IEA']]"
KEGG,KEGG:05206,MicroRNAs in cancer,0.02242365854977565,True,MicroRNAs in cancer,310,5,3,8484,0.6,0.00967741935483871,query_1,['KEGG:00000'],"['TP53', 'EGFR', 'BRCA1']","[['KEGG'], ['KEGG'], ['KEGG']]"
GO:BP,GO:0010557,positive regulation of macromolecule biosynthetic process,0.022562616508902955,True,"""Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",2593,5,5,21026,1.0,0.0019282684149633628,query_1,"['GO:0009059', 'GO:0009891', 'GO:0010556', 'GO:0010604']","['TP53', 'EGFR', 'TNF', 'BRCA1', 'GAPDH']","[['IDA', 'IMP', 'IGI', 'ISS', 'IEA'], ['IDA', 'IMP'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA']]"
GO:BP,GO:0009894,regulation of catabolic process,0.02269095989297309,True,"""Any process that modulates the frequency, rate, or extent of the chemical reactions and pathways resulting in the breakdown of substances."" [GOC:go_curators]",1040,5,4,21026,0.8,0.0038461538461538464,query_1,"['GO:0009056', 'GO:0019222']","['TP53', 'EGFR', 'TNF', 'GAPDH']","[['IMP', 'IEA'], ['IDA'], ['IDA'], ['TAS']]"
GO:MF,GO:0002039,p53 binding,0.023019551247568538,True,"""Binding to one of the p53 family of proteins."" [GOC:hjd]",69,5,2,20246,0.4,0.028985507246376812,query_1,['GO:0005515'],"['TP53', 'BRCA1']","[['IPI'], ['IDA']]"
GO:BP,GO:0048511,rhythmic process,0.023476419923643656,True,"""Any process pertinent to the generation and maintenance of rhythms in the physiology of an organism."" [GOC:jid]",305,5,3,21026,0.6,0.009836065573770493,query_1,['GO:0008150'],"['TP53', 'EGFR', 'TNF']","[['ISS', 'IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0007431,salivary gland development,0.023833859008974577,True,"""The process whose specific outcome is the progression of the salivary gland over time, from its formation to the mature structure. Salivary glands include any of the saliva-secreting exocrine glands of the oral cavity."" [GOC:jid, UBERON:0001044]",37,5,2,21026,0.4,0.05405405405405406,query_1,"['GO:0035272', 'GO:0048732']","['EGFR', 'TNF']","[['IEA'], ['IEA']]"
GO:BP,GO:0010573,vascular endothelial growth factor production,0.023833859008974577,True,"""The appearance of vascular endothelial growth factor production due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:rl]",37,5,2,21026,0.4,0.05405405405405406,query_1,['GO:0001816'],"['TNF', 'BRCA1']","[['IDA', 'IEA'], ['IMP']]"
GO:BP,GO:0097193,intrinsic apoptotic signaling pathway,0.025123107315844037,True,"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway starts with reception of an intracellular signal (e.g. DNA damage, endoplasmic reticulum stress, oxidative stress etc.), and ends when the execution phase of apoptosis is triggered. The intrinsic apoptotic signaling pathway is crucially regulated by permeabilization of the mitochondrial outer membrane (MOMP)."" [GOC:mtg_apoptosis, GOC:yaf, PMID:11919192, PMID:17340152, PMID:18852119]",312,5,3,21026,0.6,0.009615384615384616,query_1,"['GO:0035556', 'GO:0097190']","['TP53', 'TNF', 'BRCA1']","[['IDA', 'IMP', 'ISS', 'TAS', 'IEA'], ['IEA'], ['IDA']]"
GO:BP,GO:1901698,response to nitrogen compound,0.02635231462143937,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]",1080,5,4,21026,0.8,0.003703703703703704,query_1,['GO:0042221'],"['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IDA'], ['IEA'], ['IEA'], ['IDA']]"
KEGG,KEGG:05165,Human papillomavirus infection,0.02696756713779563,True,Human papillomavirus infection,330,5,3,8484,0.6,0.00909090909090909,query_1,['KEGG:00000'],"['TP53', 'EGFR', 'TNF']","[['KEGG'], ['KEGG'], ['KEGG']]"
GO:BP,GO:0051726,regulation of cell cycle,0.027035651861632877,True,"""Any process that modulates the rate or extent of progression through the cell cycle."" [GOC:ai, GOC:dph, GOC:tb]",1087,5,4,21026,0.8,0.0036798528058877645,query_1,"['GO:0007049', 'GO:0050794']","['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IDA', 'IMP', 'IGI', 'ISS', 'IEA'], ['IMP', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IBA', 'NAS', 'IEA']]"
GO:BP,GO:0062012,regulation of small molecule metabolic process,0.027096546815907993,True,"""Any process that modulates the rate, frequency or extent of a small molecule metabolic process."" [GOC:vw]",320,5,3,21026,0.6,0.009375,query_1,"['GO:0019222', 'GO:0044281']","['TP53', 'TNF', 'BRCA1']","[['IMP', 'IEA'], ['IDA'], ['IMP']]"
GO:BP,GO:0009891,positive regulation of biosynthetic process,0.027418290791347527,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]",2696,5,5,21026,1.0,0.00185459940652819,query_1,"['GO:0009058', 'GO:0009889', 'GO:0009893']","['TP53', 'EGFR', 'TNF', 'BRCA1', 'GAPDH']","[['IDA', 'IMP', 'IGI', 'ISS', 'IEA'], ['IDA', 'IMP'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA']]"
GO:BP,GO:0070266,necroptotic process,0.027905556316194385,True,"""A programmed necrotic cell death process which begins when a cell receives a signal (e.g. a ligand binding to a death receptor or to a Toll-like receptor), and proceeds through a series of biochemical events (signaling pathways), characterized by activation of receptor-interacting serine/threonine-protein kinase 1 and/or 3 (RIPK1/3, also called RIP1/3) and by critical dependence on mixed lineage kinase domain-like (MLKL), and which typically lead to common morphological features of necrotic cell death. The process ends when the cell has died. The process is divided into a signaling phase, and an execution phase, which is triggered by the former."" [GOC:BHF, GOC:dph, GOC:mah, GOC:mtg_apoptosis, GOC:tb, PMID:18846107, PMID:20823910, PMID:21737330, PMID:21760595, PMID:21876153]",40,5,2,21026,0.4,0.05,query_1,['GO:0097300'],"['TP53', 'TNF']","[['IEA'], ['IDA', 'IEA']]"
GO:BP,GO:1901990,regulation of mitotic cell cycle phase transition,0.028905176708148662,True,"""Any process that modulates the frequency, rate or extent of mitotic cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]",327,5,3,21026,0.6,0.009174311926605505,query_1,"['GO:0007346', 'GO:0044772', 'GO:1901987']","['TP53', 'EGFR', 'BRCA1']","[['IMP', 'IEA'], ['IMP'], ['IMP', 'IBA', 'NAS', 'IEA']]"
GO:BP,GO:1902533,positive regulation of intracellular signal transduction,0.029689783734830315,True,"""Any process that activates or increases the frequency, rate or extent of intracellular signal transduction."" [GOC:BHF, GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]",1113,5,4,21026,0.8,0.0035938903863432167,query_1,"['GO:0009967', 'GO:0035556', 'GO:1902531']","['TP53', 'EGFR', 'TNF', 'GAPDH']","[['IMP', 'ISS'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA']]"
GO:BP,GO:0014002,astrocyte development,0.03079757529783828,True,"""The process aimed at the progression of an astrocyte over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell. An astrocyte is the most abundant type of glial cell. Astrocytes provide support for neurons and regulate the environment in which they function."" [GOC:dgh, GOC:ef]",42,5,2,21026,0.4,0.047619047619047616,query_1,"['GO:0021782', 'GO:0048708']","['EGFR', 'TNF']","[['IEA'], ['NAS']]"
GO:BP,GO:0009790,embryo development,0.03208303987930933,True,"""The process whose specific outcome is the progression of an embryo from its formation until the end of its embryonic life stage. The end of the embryonic stage is organism-specific. For example, for mammals, the process would begin with zygote formation and end with birth. For insects, the process would begin at zygote formation and end with larval hatching. For plant zygotic embryos, this would be from zygote formation to the end of seed dormancy. For plant vegetative embryos, this would be from the initial determination of the cell or group of cells to form an embryo until the point when the embryo becomes independent of the parent plant."" [GOC:go_curators, GOC:isa_complete, GOC:mtg_sensu]",1135,5,4,21026,0.8,0.003524229074889868,query_1,['GO:0007275'],"['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IEA'], ['IEA'], ['IEP'], ['IBA', 'IEA']]"
GO:BP,GO:2000378,negative regulation of reactive oxygen species metabolic process,0.03229682045116798,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of reactive oxygen species metabolic process."" [GOC:mah]",43,5,2,21026,0.4,0.046511627906976744,query_1,"['GO:0009892', 'GO:0072593', 'GO:2000377']","['TP53', 'BRCA1']","[['IEA'], ['IMP']]"
KEGG,KEGG:05230,Central carbon metabolism in cancer,0.03237343557167998,True,Central carbon metabolism in cancer,70,5,2,8484,0.4,0.02857142857142857,query_1,['KEGG:00000'],"['TP53', 'EGFR']","[['KEGG'], ['KEGG']]"
GO:BP,GO:0048545,response to steroid hormone,0.0324724391971229,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a steroid hormone stimulus."" [GOC:go_curators]",340,5,3,21026,0.6,0.008823529411764706,query_1,"['GO:0009725', 'GO:0033993']","['EGFR', 'TNF', 'BRCA1']","[['IEA'], ['IDA'], ['IMP']]"
GO:BP,GO:0009628,response to abiotic stimulus,0.033102347883531134,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]",1144,5,4,21026,0.8,0.0034965034965034965,query_1,['GO:0050896'],"['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IDA', 'IMP', 'IEP', 'ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IMP']]"
GO:BP,GO:0072359,circulatory system development,0.033217073209448555,True,"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]",1145,5,4,21026,0.8,0.0034934497816593887,query_1,['GO:0048731'],"['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IEA'], ['IMP'], ['IDA'], ['IMP']]"
KEGG,KEGG:04151,PI3K-Akt signaling pathway,0.03371979842938132,True,PI3K-Akt signaling pathway,356,5,3,8484,0.6,0.008426966292134831,query_1,['KEGG:00000'],"['TP53', 'EGFR', 'BRCA1']","[['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:05223,Non-small cell lung cancer,0.0342473399565796,True,Non-small cell lung cancer,72,5,2,8484,0.4,0.027777777777777776,query_1,['KEGG:00000'],"['TP53', 'EGFR']","[['KEGG'], ['KEGG']]"
KEGG,KEGG:05218,Melanoma,0.0342473399565796,True,Melanoma,72,5,2,8484,0.4,0.027777777777777776,query_1,['KEGG:00000'],"['TP53', 'EGFR']","[['KEGG'], ['KEGG']]"
KEGG,KEGG:01524,Platinum drug resistance,0.0342473399565796,True,Platinum drug resistance,72,5,2,8484,0.4,0.027777777777777776,query_1,['KEGG:00000'],"['TP53', 'BRCA1']","[['KEGG'], ['KEGG']]"
GO:BP,GO:0036211,protein modification process,0.03595012561547102,True,"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]",2846,5,5,21026,1.0,0.0017568517217146872,query_1,"['GO:0019538', 'GO:0043412']","['TP53', 'EGFR', 'TNF', 'BRCA1', 'GAPDH']","[['ISS', 'IEA'], ['IDA', 'IMP', 'TAS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IEA'], ['ISS']]"
GO:BP,GO:0042063,gliogenesis,0.0360131638516652,True,"""The process that results in the generation of glial cells. This includes the production of glial progenitors and their differentiation into mature glia."" [GOC:dgh, GOC:jid]",352,5,3,21026,0.6,0.008522727272727272,query_1,['GO:0022008'],"['TP53', 'EGFR', 'TNF']","[['IEA'], ['IEA'], ['IDA', 'IGI', 'NAS']]"
KEGG,KEGG:05214,Glioma,0.03715527218842553,True,Glioma,75,5,2,8484,0.4,0.02666666666666667,query_1,['KEGG:00000'],"['TP53', 'EGFR']","[['KEGG'], ['KEGG']]"
GO:BP,GO:1901701,cellular response to oxygen-containing compound,0.03767393363407833,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1182,5,4,21026,0.8,0.00338409475465313,query_1,"['GO:0070887', 'GO:1901700']","['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IDA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IDA']]"
KEGG,KEGG:05212,Pancreatic cancer,0.03815043220187821,True,Pancreatic cancer,76,5,2,8484,0.4,0.02631578947368421,query_1,['KEGG:00000'],"['TP53', 'EGFR']","[['KEGG'], ['KEGG']]"
GO:BP,GO:0009895,negative regulation of catabolic process,0.03882982169151311,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of substances."" [GOC:go_curators]",361,5,3,21026,0.6,0.008310249307479225,query_1,"['GO:0009056', 'GO:0009892', 'GO:0009894']","['TP53', 'EGFR', 'TNF']","[['IEA'], ['IDA'], ['IDA']]"
GO:MF,GO:0003690,double-stranded DNA binding,0.04101409584387647,True,"""Binding to double-stranded DNA."" [GOC:elh, GOC:vw]",1644,5,4,20246,0.8,0.0024330900243309003,query_1,['GO:0003677'],"['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IDA', 'ISS', 'IBA', 'IEA'], ['NAS'], ['IDA'], ['IDA', 'IEA']]"
GO:BP,GO:0010628,positive regulation of gene expression,0.041602249869080093,True,"""Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."" [GOC:txnOH-2018]",1212,5,4,21026,0.8,0.0033003300330033004,query_1,"['GO:0010467', 'GO:0010468', 'GO:0010557']","['TP53', 'TNF', 'BRCA1', 'GAPDH']","[['IDA', 'IMP', 'ISS', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IEA'], ['IMP'], ['IDA']]"
GO:BP,GO:0035272,exocrine system development,0.042036948940552835,True,"""Progression of the exocrine system over time, from its formation to a mature structure. The exocrine system is a system of hormones and glands, where the glands secrete straight to a target site via ducts or tubes. The human exocrine system includes the salivary glands, sweat glands and many glands of the digestive system."" [GOC:bf, Wikipedia:Exocrine_gland]",49,5,2,21026,0.4,0.04081632653061224,query_1,['GO:0048731'],"['EGFR', 'TNF']","[['IEA'], ['IEA']]"
GO:BP,GO:0051239,regulation of multicellular organismal process,0.04346152154066965,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2956,5,5,21026,1.0,0.0016914749661705007,query_1,"['GO:0032501', 'GO:0050789']","['TP53', 'EGFR', 'TNF', 'BRCA1', 'GAPDH']","[['IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'TAS', 'IEA'], ['IMP'], ['IDA']]"
GO:BP,GO:0035556,intracellular signal transduction,0.0441276429455138,True,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]",2965,5,5,21026,1.0,0.0016863406408094434,query_1,['GO:0007165'],"['TP53', 'EGFR', 'TNF', 'BRCA1', 'GAPDH']","[['IDA', 'IMP', 'IEP', 'ISS', 'TAS', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'NAS', 'IEA'], ['IDA']]"
GO:BP,GO:0050767,regulation of neurogenesis,0.044539870285691174,True,"""Any process that modulates the frequency, rate or extent of neurogenesis, the generation of cells in the nervous system."" [GOC:ai]",378,5,3,21026,0.6,0.007936507936507936,query_1,"['GO:0022008', 'GO:0051960', 'GO:0060284']","['TP53', 'EGFR', 'TNF']","[['IEA'], ['IEA'], ['IDA', 'IGI', 'TAS']]"
GO:BP,GO:2001233,regulation of apoptotic signaling pathway,0.04524595914756495,True,"""Any process that modulates the frequency, rate or extent of apoptotic signaling pathway."" [GOC:mtg_apoptosis]",380,5,3,21026,0.6,0.007894736842105263,query_1,"['GO:0009966', 'GO:0042981', 'GO:0097190']","['TP53', 'TNF', 'BRCA1']","[['IMP', 'ISS', 'IEA'], ['IDA', 'IGI', 'IBA'], ['IMP']]"
GO:BP,GO:0042311,vasodilation,0.04556709314800562,True,"""An increase in the internal diameter of blood vessels, especially arterioles or capillaries, due to relaxation of smooth muscle cells that line the vessels, and usually resulting in a decrease in blood pressure."" [GOC:pr, ISBN:0192800981]",51,5,2,21026,0.4,0.0392156862745098,query_1,['GO:0097746'],"['EGFR', 'TNF']","[['IEA'], ['IEA']]"
GO:BP,GO:0097300,programmed necrotic cell death,0.0473852634583707,True,"""A necrotic cell death process that results from the activation of endogenous cellular processes, such as signaling involving death domain receptors or Toll-like receptors."" [GOC:mtg_apoptosis, PMID:21760595]",52,5,2,21026,0.4,0.038461538461538464,query_1,['GO:0012501'],"['TP53', 'TNF']","[['IEA'], ['IDA', 'IEA']]"
GO:BP,GO:0045944,positive regulation of transcription by RNA polymerase II,0.047904625317059725,True,"""Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."" [GOC:go_curators, GOC:txnOH]",1256,5,4,21026,0.8,0.0031847133757961785,query_1,"['GO:0006357', 'GO:0006366', 'GO:0045893']","['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IDA', 'IMP', 'IGI', 'ISS', 'IEA'], ['IDA'], ['IDA', 'IGI', 'ISS', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA']]"
KEGG,KEGG:05210,Colorectal cancer,0.048810479856227044,True,Colorectal cancer,86,5,2,8484,0.4,0.023255813953488372,query_1,['KEGG:00000'],"['TP53', 'EGFR']","[['KEGG'], ['KEGG']]"
GO:BP,GO:0043412,macromolecule modification,0.049184905091952634,True,"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]",3030,5,5,21026,1.0,0.0016501650165016502,query_1,['GO:0043170'],"['TP53', 'EGFR', 'TNF', 'BRCA1', 'GAPDH']","[['ISS', 'IEA'], ['IDA', 'IMP', 'TAS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IEA'], ['ISS']]"
GO:BP,GO:0009966,regulation of signal transduction,0.049510631872357644,True,"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]",3034,5,5,21026,1.0,0.0016479894528675016,query_1,"['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']","['TP53', 'EGFR', 'TNF', 'BRCA1', 'GAPDH']","[['IMP', 'ISS', 'IEA'], ['IDA', 'IMP', 'TAS', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'TAS', 'NAS', 'IEA'], ['IMP', 'NAS'], ['IDA']]"
GO:CC,GO:0097489,"multivesicular body, internal vesicle lumen",0.04994332431556279,True,"""The volume enclosed by the membrane of the multivesicular body internal vesicle."" [GOC:pde, PMID:21183070]",1,5,1,22149,0.2,1.0,query_1,"['GO:0031983', 'GO:0070013', 'GO:0097487']",['EGFR'],[['IDA']]
